mode,train_max,seed,ood_correct@16,ood_formal_joint@16,ood_translated_joint@16,depth50_correct@16,depth50_formal_joint@16,depth50_translated_joint@16
formal_think,10,3407,0.5,0.19375,0.35,0.09375,0.0,0.0
formal_think,10,3408,0.703125,0.290625,0.375,0.75,0.0,0.0
formal_think,10,3409,0.675,0.353125,0.41875,0.34375,0.0,0.0
formal_think,5,3407,0.4403409090909091,0.10795454545454546,0.3039772727272727,0.15625,0.03125,0.0
formal_think,5,3408,0.6505681818181818,0.07386363636363637,0.34375,0.625,0.0,0.0
formal_think,5,3409,0.5227272727272727,0.17897727272727273,0.39204545454545453,0.1875,0.0,0.0
think_formal,10,3407,0.5375,0.275,0.3,0.5625,0.0,0.0
think_formal,10,3408,0.4875,0.2625,0.28125,0.34375,0.0,0.0
think_formal,10,3409,0.44375,0.209375,0.30625,0.15625,0.0,0.0
think_formal,15,3407,0.4140625,0.12109375,0.11328125,0.53125,0.0,0.0
think_formal,15,3408,0.25,0.11328125,0.109375,0.125,0.0,0.0
think_formal,15,3409,0.39453125,0.09765625,0.109375,0.28125,0.0,0.0
think_formal,20,3407,0.4791666666666667,0.0,0.125,0.65625,0.0,0.0
think_formal,20,3408,0.359375,0.03125,0.03125,0.53125,0.0,0.0
think_formal,20,3409,0.4635416666666667,0.052083333333333336,0.2864583333333333,0.21875,0.0,0.0
think_formal,25,3407,0.625,0.24375,0.46875,0.40625,0.0,0.125
think_formal,25,3408,0.55,0.2375,0.3375,0.34375,0.0,0.0625
think_formal,25,3409,0.54375,0.13125,0.45,0.28125,0.0,0.21875
think_formal,5,3407,0.44886363636363635,0.03125,0.29545454545454547,0.125,0.0,0.0
think_formal,5,3408,0.45454545454545453,0.02556818181818182,0.3125,0.09375,0.0,0.0
think_formal,5,3409,0.5369318181818182,0.008522727272727272,0.2840909090909091,0.4375,0.0,0.0
