run_name,n,old_em,strict_explicit_em,delta,tag_found,explicit_extracted_nonempty,no_explicit_answer_rate
sft_hfsa_depth_scaling_logic_train1to10_10k_seed3407,1319,0.03335860500379075,0.029567854435178165,-0.0037907505686125853,0.775587566338135,0.775587566338135,0.22441243366186506
sft_hfsa_depth_scaling_logic_train1to10_10k_seed3408,1319,0.045489006823351025,0.0310841546626232,-0.014404852160727824,0.6557998483699773,0.6550416982562547,0.34495830174374525
sft_hfsa_depth_scaling_logic_train1to10_10k_seed3409,1319,0.15769522365428354,0.15390447308567096,-0.0037907505686125853,0.8476118271417741,0.8476118271417741,0.15238817285822592
sft_hfsa_depth_scaling_logic_train1to15_10k_seed3407,1319,0.09173616376042457,0.08567096285064443,-0.006065200909780136,0.7164518574677786,0.7081122062168309,0.2918877937831691
sft_hfsa_depth_scaling_logic_train1to15_10k_seed3408,1319,0.04624715693707354,0.04473085670962851,-0.001516300227445034,0.45034116755117515,0.45034116755117515,0.5496588324488249
sft_hfsa_depth_scaling_logic_train1to15_10k_seed3409,1319,0.08339651250947688,0.07960576194086429,-0.0037907505686125853,0.8718726307808946,0.8514025777103866,0.14859742228961334
sft_hfsa_depth_scaling_logic_train1to20_10k_seed3407,1319,0.08188021228203184,0.07354056103108415,-0.008339651250947688,0.6444275966641395,0.643669446550417,0.35633055344958303
sft_hfsa_depth_scaling_logic_train1to20_10k_seed3408,1319,0.12054586808188021,0.11751326762699014,-0.003032600454890068,0.9598180439727066,0.9598180439727066,0.0401819560272934
sft_hfsa_depth_scaling_logic_train1to20_10k_seed3409,1319,0.05686125852918878,0.04473085670962851,-0.012130401819560273,0.49052312357846856,0.4890068233510235,0.5109931766489765
sft_hfsa_depth_scaling_logic_train1to25_10k_seed3407,1319,0.015163002274450341,0.0037907505686125853,-0.011372251705837756,0.35178165276724793,0.3502653525398029,0.6497346474601972
sft_hfsa_depth_scaling_logic_train1to25_10k_seed3408,1319,0.0887035633055345,0.08642911296436695,-0.002274450341167551,0.6239575435936315,0.6239575435936315,0.37604245640636846
sft_hfsa_depth_scaling_logic_train1to25_10k_seed3409,1319,0.06444275966641395,0.05686125852918878,-0.0075815011372251705,0.7680060652009097,0.7354056103108415,0.26459438968915844
