shortcut_kind,shortcut_rate_value,template,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
initial_marker,0.0,logic,0.9208333333333334,0.7104166666666667,0.8333333333333334,0.4166666666666667
initial_marker,0.0,nl_exact,0.79375,0.7479166666666667,0.5104166666666666,0.4270833333333333
position,0.0,logic,0.9208333333333334,0.7104166666666667,0.8333333333333334,0.4166666666666667
position,0.0,nl_exact,0.79375,0.7479166666666667,0.5104166666666666,0.4270833333333333
initial_marker,0.5,logic,0.8833333333333333,0.625,0.8541666666666666,0.34375
initial_marker,0.8,logic,0.8854166666666666,0.6104166666666666,0.8645833333333334,0.34375
initial_marker,0.5,nl_exact,0.46875,0.42083333333333334,0.11458333333333333,0.09375
initial_marker,0.8,nl_exact,0.7708333333333334,0.7020833333333334,0.6666666666666666,0.5
position,0.5,logic,0.9,0.61875,0.84375,0.3125
position,0.8,logic,0.8791666666666668,0.65,0.7604166666666666,0.3229166666666667
position,0.5,nl_exact,0.5395833333333333,0.43124999999999997,0.3958333333333333,0.2604166666666667
position,0.8,nl_exact,0.5125000000000001,0.4875,0.3958333333333333,0.3541666666666667
