family,display_family,template,train_max,seed,train_correct@16,train_joint@16,ood_correct@16,ood_valid_or_parse@16,ood_joint@16,ood_format@16,depth50_correct@16,depth50_valid_or_parse@16,depth50_joint@16,cap_note
typed_maze,typed maze,logic,10,3407,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,10,3408,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,10,3409,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,15,3407,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,15,3408,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,15,3409,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,20,3407,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,20,3408,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,20,3409,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,25,3407,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,25,3408,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,25,3409,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,5,3407,1.0,1.0,0.0,0.006944444444444444,0.0,0.024305555555555556,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,5,3408,1.0,1.0,0.006944444444444444,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,logic,5,3409,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,nl_exact,10,3407,1.0,0.0,0.1111111111111111,0.0,0.0,0.1076388888888889,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,nl_exact,10,3408,1.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,nl_exact,10,3409,1.0,0.0,0.09722222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,nl_exact,15,3407,1.0,0.0,0.1111111111111111,0.0,0.0,0.11458333333333333,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,nl_exact,15,3408,1.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,formal cap 4096; NL cap 6144
typed_maze,typed maze,nl_exact,15,3409,1.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,formal cap 4096; NL cap 6144
