template,train_max,n,ood_correct@16,ood_valid_or_parse@16,ood_joint@16,ood_grounded_joint@16,depth50_correct@16,depth50_valid_or_parse@16,depth50_joint@16,depth50_grounded_joint@16
logic,5,3,0.5162037037037037,0.3796296296296296,0.041666666666666664,0.0,0.3854166666666667,0.2604166666666667,0.0,0.0
logic,10,3,0.5219907407407407,0.33217592592592593,0.05902777777777778,0.0,0.4166666666666667,0.2604166666666667,0.010416666666666666,0.0
logic,15,3,0.5729166666666666,0.3900462962962963,0.13657407407407407,0.0,0.3645833333333333,0.16666666666666666,0.0,0.0
logic,20,3,0.5509259259259259,0.36574074074074076,0.23148148148148148,0.0,0.22916666666666666,0.010416666666666666,0.0,0.0
logic,25,3,0.6122685185185185,0.43865740740740744,0.27199074074074076,0.0,0.28125,0.0625,0.0,0.0
nl_exact,5,3,0.48263888888888884,0.9953703703703703,0.0,0.0,0.5,0.9895833333333334,0.0,0.0
nl_exact,10,3,0.6608796296296297,0.9965277777777778,0.0,0.0,0.5520833333333334,1.0,0.0,0.0
nl_exact,15,3,0.7442129629629629,0.9988425925925926,0.0,0.0,0.5104166666666666,0.9895833333333334,0.0,0.0
nl_exact,20,3,0.8194444444444445,0.9988425925925926,0.0,0.0,0.6458333333333334,0.9895833333333334,0.0,0.0
nl_exact,25,3,0.8726851851851851,0.9965277777777778,0.0,0.0,0.6770833333333334,0.9895833333333334,0.0,0.0
