template,train_max,seed,ood_correct@16,ood_valid_or_parse@16,ood_joint@16,ood_grounded_joint@16,depth50_correct@16,depth50_valid_or_parse@16,depth50_joint@16,depth50_grounded_joint@16
logic,10,3407,0.5451388888888888,0.4652777777777778,0.07291666666666667,0.0,0.4375,0.4375,0.0,0.0
logic,10,3408,0.4791666666666667,0.2569444444444444,0.04861111111111111,0.0,0.375,0.15625,0.03125,0.0
logic,10,3409,0.5416666666666666,0.2743055555555556,0.05555555555555555,0.0,0.4375,0.1875,0.0,0.0
logic,15,3407,0.5451388888888888,0.3263888888888889,0.1076388888888889,0.0,0.34375,0.0625,0.0,0.0
logic,15,3408,0.5729166666666666,0.3923611111111111,0.12152777777777778,0.0,0.3125,0.21875,0.0,0.0
logic,15,3409,0.6006944444444444,0.4513888888888889,0.18055555555555555,0.0,0.4375,0.21875,0.0,0.0
logic,20,3407,0.5520833333333334,0.3576388888888889,0.2222222222222222,0.0,0.3125,0.03125,0.0,0.0
logic,20,3408,0.5034722222222222,0.3645833333333333,0.22916666666666666,0.0,0.125,0.0,0.0,0.0
logic,20,3409,0.5972222222222222,0.375,0.24305555555555555,0.0,0.25,0.0,0.0,0.0
logic,25,3407,0.6041666666666666,0.40625,0.2569444444444444,0.0,0.1875,0.0,0.0,0.0
logic,25,3408,0.6319444444444444,0.5104166666666666,0.2777777777777778,0.0,0.34375,0.15625,0.0,0.0
logic,25,3409,0.6006944444444444,0.3993055555555556,0.28125,0.0,0.3125,0.03125,0.0,0.0
logic,5,3407,0.5138888888888888,0.4166666666666667,0.041666666666666664,0.0,0.375,0.25,0.0,0.0
logic,5,3408,0.5277777777777778,0.3194444444444444,0.03125,0.0,0.34375,0.34375,0.0,0.0
logic,5,3409,0.5069444444444444,0.4027777777777778,0.052083333333333336,0.0,0.4375,0.1875,0.0,0.0
nl_exact,10,3407,0.6736111111111112,0.9930555555555556,0.0,0.0,0.40625,1.0,0.0,0.0
nl_exact,10,3408,0.6423611111111112,1.0,0.0,0.0,0.6875,1.0,0.0,0.0
nl_exact,10,3409,0.6666666666666666,0.9965277777777778,0.0,0.0,0.5625,1.0,0.0,0.0
nl_exact,15,3407,0.7569444444444444,1.0,0.0,0.0,0.5625,1.0,0.0,0.0
nl_exact,15,3408,0.71875,1.0,0.0,0.0,0.46875,1.0,0.0,0.0
nl_exact,15,3409,0.7569444444444444,0.9965277777777778,0.0,0.0,0.5,0.96875,0.0,0.0
nl_exact,20,3407,0.8194444444444444,0.9965277777777778,0.0,0.0,0.5,0.96875,0.0,0.0
nl_exact,20,3408,0.8020833333333334,1.0,0.0,0.0,0.6875,1.0,0.0,0.0
nl_exact,20,3409,0.8368055555555556,1.0,0.0,0.0,0.75,1.0,0.0,0.0
nl_exact,25,3407,0.875,1.0,0.0,0.0,0.71875,1.0,0.0,0.0
nl_exact,25,3408,0.8645833333333334,0.9895833333333334,0.0,0.0,0.625,0.96875,0.0,0.0
nl_exact,25,3409,0.8784722222222222,1.0,0.0,0.0,0.6875,1.0,0.0,0.0
nl_exact,5,3407,0.4583333333333333,0.9930555555555556,0.0,0.0,0.3125,1.0,0.0,0.0
nl_exact,5,3408,0.4756944444444444,0.9965277777777778,0.0,0.0,0.65625,0.96875,0.0,0.0
nl_exact,5,3409,0.5138888888888888,0.9965277777777778,0.0,0.0,0.53125,1.0,0.0,0.0
