train_max,eval_template,n,ood_correct@16,ood_joint@16,depth50_correct@16,depth50_joint@16
5,conditioned_logic,3,0.35984848484848486,0.05776515151515151,0.16666666666666666,0.0
5,conditioned_nl,3,0.6969696969696969,0.3323863636363636,0.6458333333333334,0.0
10,conditioned_logic,3,0.6947916666666667,0.25625,0.5208333333333334,0.0
10,conditioned_nl,3,0.6375000000000001,0.3385416666666667,0.6041666666666666,0.0
15,conditioned_logic,3,0.5716145833333334,0.2578125,0.34375,0.03125
15,conditioned_nl,3,0.36328125,0.15494791666666666,0.28125,0.0
20,conditioned_logic,3,0.7013888888888888,0.11631944444444443,0.5,0.020833333333333332
20,conditioned_nl,3,0.6302083333333334,0.2899305555555556,0.5104166666666666,0.041666666666666664
25,conditioned_logic,3,0.6770833333333334,0.20208333333333336,0.5208333333333334,0.03125
25,conditioned_nl,3,0.58125,0.4895833333333333,0.5104166666666666,0.3333333333333333
